Input Token,CoinGecko ID,Name,Symbol,Market Cap,FDV,24H Volume,Categories
SUI,sui,Sui,SUI,7163867408,19460021797.0,2103035410.0,"Smart Contract Platform, Binance Launchpool, Layer 1 (L1), Sui Ecosystem, Coinbase Ventures Portfolio, Proof of Stake (PoS), Andreessen Horowitz (a16z) Portfolio, YZi Labs (Prev. Binance Labs) Portfolio, GMCI Layer 1 Index, Circle Ventures Portfolio, GMCI Index, Made in USA"
AVAX,avalanche-2,Avalanche,AVAX,6728083944,7253384818.0,872213358.0,"Smart Contract Platform, Layer 1 (L1), Avalanche Ecosystem, Proof of Stake (PoS), DragonFly Capital Portfolio, DeFiance Capital Portfolio, Andreessen Horowitz (a16z) Portfolio, GMCI Layer 1 Index, GMCI 30 Index, Galaxy Digital Portfolio, GMCI Index, Polychain Capital Portfolio, World Liberty Financial Portfolio, Made in USA, Coinbase 50 Index"
TAO,bittensor,Bittensor,TAO,3740550271,8184592795.0,780080526.0,"Artificial Intelligence (AI), Smart Contract Platform, Layer 1 (L1), DePIN, Bittensor Ecosystem, Polychain Capital Portfolio"
ENA,ethena,Ethena,ENA,2318044575,4683904002.0,390770408.0,"Decentralized Finance (DeFi), Binance Launchpool, Avalanche Ecosystem, Arbitrum Ecosystem, Ethereum Ecosystem, Metis Ecosystem, Optimism Ecosystem, ZkSync Ecosystem, Mantle Ecosystem, Base Ecosystem, TON Ecosystem, Manta Network Ecosystem, Scroll Ecosystem, Kava Ecosystem, Blast Ecosystem, Stablecoin Issuer, Mode Ecosystem, DragonFly Capital Portfolio, YZi Labs (Prev. Binance Labs) Portfolio, Fraxtal Ecosystem, Delphi Ventures Portfolio, OKX Ventures Portfolio, Zircuit Ecosystem, Morph L2 Ecosystem, World Liberty Financial Portfolio, Swellchain Ecosystem, Governance"
ONDO,ondo-finance,Ondo,ONDO,1847158979,5847091186.0,191454990.0,"Decentralized Finance (DeFi), Ethereum Ecosystem, Real World Assets (RWA), Coinbase Ventures Portfolio, Pantera Capital Portfolio, GMCI DeFi Index, RWA Protocol, GMCI Index, World Liberty Financial Portfolio, Binance Alpha Spotlight, Made in USA"
ALGO,algorand,Algorand,ALGO,1338383538,1338387411.0,108950108.0,"Smart Contract Platform, Layer 1 (L1), Algorand Ecosystem, Real World Assets (RWA), Alleged SEC Securities, DWF Labs Portfolio, Multicoin Capital Portfolio, Proof of Stake (PoS), GMCI Layer 1 Index, GMCI Index, Made in USA, Coinbase 50 Index"
ATOM,cosmos,Cosmos Hub,ATOM,1178159089,1178193219.0,137263057.0,"Smart Contract Platform, BNB Chain Ecosystem, Cosmos Ecosystem, Terra Ecosystem, Canto Ecosystem, Alleged SEC Securities, Osmosis Ecosystem, Paradigm Portfolio, Proof of Stake (PoS), Kava Ecosystem, Layer 0 (L0), DragonFly Capital Portfolio, Pantera Capital Portfolio, Archway Ecosystem, Evmos Ecosystem, GMCI 30 Index, GMCI Index, Outlier Ventures Portfolio, Polychain Capital Portfolio, Mantra Ecosystem, Coinbase 50 Index, Governance"
NEXO,nexo,NEXO,NEXO,1048744901,1048744901.0,28568195.0,"Exchange-based Tokens, Centralized Exchange (CEX) Token, Polygon Ecosystem, Fantom Ecosystem, Ethereum Ecosystem, Alleged SEC Securities, Energi Ecosystem, Sora Ecosystem"
FDUSD,first-digital-usd,First Digital USD,FDUSD,988224024,988224024.0,8793258049.0,"Stablecoins, USD Stablecoin, BNB Chain Ecosystem, Arbitrum Ecosystem, Ethereum Ecosystem, Sui Ecosystem, TON Ecosystem, Fiat-backed Stablecoin"
WBTC,arbitrum-bridged-wbtc-arbitrum-one,Arbitrum Bridged WBTC (Arbitrum One),WBTC,807022406,807022406.0,308523527.0,"Arbitrum Ecosystem, Bridged WBTC, Bridged-Tokens"
